Name of the Political Party,"Date of Encashment",Sum,Upcoming Election
BHARTIYA JANTA PARTY,21-Jan-20,450000000,Delhi
AAM AADMI PARTY,24-Jan-20,3000000,Delhi
BIJU JANATA DAL,24-Jan-20,30000000,Delhi
ALL INDIA TRINAMOOL CONGRESS,27-Jan-20,123700000,Delhi
BHARTIYA JANTA PARTY,27-Jan-20,50000000,Delhi
BIJU JANATA DAL,27-Jan-20,30000000,Delhi
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",28-Jan-20,60000000,Delhi
BHARTIYA JANTA PARTY,03-Feb-20,30000000,Delhi
ALL INDIA TRINAMOOL CONGRESS,22-Oct-20,150000000,Bihar
ALL INDIA TRINAMOOL CONGRESS,23-Oct-20,4000000,Bihar
BIJU JANATA DAL,23-Oct-20,500000000,Bihar
DMK PARTY IN PARLIAMENT,23-Oct-20,600000000,Bihar
BIJU JANATA DAL,27-Oct-20,120000000,Bihar
BIJU JANATA DAL,28-Oct-20,50000000,Bihar
DMK PARTY IN PARLIAMENT,29-Oct-20,200000000,Bihar
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",29-Oct-20,30000000,Bihar
RASTRIYA JANTA DAL,29-Oct-20,10000000,Bihar
ALL INDIA TRINAMOOL CONGRESS,31-Oct-20,10000000,Bihar
BIHAR PRADESH JANTA DAL(UNITED),31-Oct-20,10000000,Bihar
BHARTIYA JANTA PARTY,02-Nov-20,189000000,Bihar
BHARTIYA JANTA PARTY,05-Nov-20,19900000,Bihar
AAM AADMI PARTY,06-Nov-20,30000000,Bihar
ALL INDIA TRINAMOOL CONGRESS,07-Nov-20,10000000,Bihar
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,07-Nov-20,890000000,Bihar
ALL INDIA TRINAMOOL CONGRESS,07-Jan-21,250000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry"
AAM AADMI PARTY,13-Jan-21,12500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry"
ALL INDIA TRINAMOOL CONGRESS,13-Jan-21,10000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18-Jan-21,70750000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,18-Jan-21,62500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry"
BHARTIYA JANTA PARTY,19-Jan-21,10000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry"
BHARTIYA JANTA PARTY,20-Jan-21,4950000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry"
BIJU JANATA DAL,07-Apr-21,545000000,West Bengal
DMK PARTY IN PARLIAMENT,07-Apr-21,1030000000,West Bengal
TELUGU DESAM PARTY,07-Apr-21,25000000,West Bengal
BHARTIYA JANTA PARTY,08-Apr-21,1145000000,West Bengal
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",08-Apr-21,50000000,West Bengal
TELUGU DESAM PARTY,08-Apr-21,10000000,West Bengal
NATIONALIST CONGRESS PARTY PARLIAMENT OF,09-Apr-21,38000000,West Bengal
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",09-Apr-21,250000000,West Bengal
ALL INDIA TRINAMOOL CONGRESS,12-Apr-21,502400000,West Bengal
BHARTIYA JANTA PARTY,12-Apr-21,1730000000,West Bengal
BIJU JANATA DAL,12-Apr-21,545000000,West Bengal
DMK PARTY IN PARLIAMENT,12-Apr-21,30000000,West Bengal
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12-Apr-21,80000000,West Bengal
AAM AADMI PARTY,13-Apr-21,2000000,West Bengal
ALL INDIA TRINAMOOL CONGRESS,13-Apr-21,50000000,West Bengal
BIJU JANATA DAL,13-Apr-21,70000000,West Bengal
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13-Apr-21,177500000,West Bengal
AAM AADMI PARTY,15-Apr-21,1500000,West Bengal
BHARTIYA JANTA PARTY,16-Apr-21,40000000,West Bengal
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16-Apr-21,30000000,West Bengal
ALL INDIA TRINAMOOL CONGRESS,19-Apr-21,2000000,West Bengal
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,19-Apr-21,600000000,West Bengal
ALL INDIA TRINAMOOL CONGRESS,09-Jul-21,26500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,12-Jul-21,610000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12-Jul-21,247000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,13-Jul-21,230000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,14-Jul-21,95100000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,14-Jul-21,150000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,15-Jul-21,64300000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,16-Jul-21,39730000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,17-Jul-21,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
AAM AADMI PARTY,19-Jul-21,2500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,23-Jul-21,10000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",05-Oct-21,120000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BIJU JANATA DAL,07-Oct-21,700000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",07-Oct-21,124300000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,08-Oct-21,355000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARAT RASHTRA SAMITHI,08-Oct-21,850000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,11-Oct-21,747500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARAT RASHTRA SAMITHI,11-Oct-21,680000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,11-Oct-21,70000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BIJU JANATA DAL,11-Oct-21,110000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
DMK PARTY IN PARLIAMENT,11-Oct-21,990000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",11-Oct-21,21150000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BIJU JANATA DAL,12-Oct-21,440000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12-Oct-21,63545000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,13-Oct-21,550000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,16-Oct-21,251900000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,18-Oct-21,64000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,19-Oct-21,1000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20-Oct-21,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",06-Jan-22,179800000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
SHIVSENA (POLITICAL PARTY),06-Jan-22,250000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
AAM AADMI PARTY,10-Jan-22,20000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ADYAKSHA SAMAJVADI PARTY,10-Jan-22,2100000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,10-Jan-22,690000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,10-Jan-22,2512500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BIHAR PRADESH JANTA DAL(UNITED),10-Jan-22,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BIJU JANATA DAL,10-Jan-22,200000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10-Jan-22,200000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,11-Jan-22,290000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BIJU JANATA DAL,11-Jan-22,170000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
DMK PARTY IN PARLIAMENT,11-Jan-22,1000000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
NATIONALIST CONGRESS PARTY PARLIAMENT OF,11-Jan-22,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
SHIVSENA (POLITICAL PARTY),11-Jan-22,40000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
AAM AADMI PARTY,12-Jan-22,2500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,12-Jan-22,937500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
GOA FORWARD PARTY,12-Jan-22,3500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12-Jan-22,508700000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ADYAKSHA SAMAJVADI PARTY,13-Jan-22,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,13-Jan-22,600000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BIJU JANATA DAL,13-Jan-22,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13-Jan-22,275000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
AAM AADMI PARTY,14-Jan-22,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,14-Jan-22,510000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,14-Jan-22,1755000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
SHIROMANI AKALI DAL,14-Jan-22,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,15-Jan-22,60000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
NATIONALIST CONGRESS PARTY PARLIAMENT OF,15-Jan-22,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,17-Jan-22,56000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,17-Jan-22,1075000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
AAM AADMI PARTY,18-Jan-22,4500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,18-Jan-22,205000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
MAHARASHTRAWADI GOMNTAK PARTY,18-Jan-22,5500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18-Jan-22,27000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BIJU JANATA DAL,20-Jan-22,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20-Jan-22,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
AAM AADMI PARTY,21-Jan-22,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,21-Jan-22,4000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARTIYA JANTA PARTY,21-Jan-22,137000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
ALL INDIA TRINAMOOL CONGRESS,24-Jan-22,32000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur"
BHARAT RASHTRA SAMITHI,06-Apr-22,500000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,08-Apr-22,150000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,11-Apr-22,920000000,"Himachal Pradesh, Gujarat"
BIJU JANATA DAL,11-Apr-22,30000000,"Himachal Pradesh, Gujarat"
DMK PARTY IN PARLIAMENT,11-Apr-22,1000000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,12-Apr-22,2680000000,"Himachal Pradesh, Gujarat"
BHARTIYA JANTA PARTY,12-Apr-22,430000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,13-Apr-22,9870000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13-Apr-22,80000000,"Himachal Pradesh, Gujarat"
BHARTIYA JANTA PARTY,18-Apr-22,555000000,"Himachal Pradesh, Gujarat"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,18-Apr-22,100000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,19-Apr-22,30000000,"Himachal Pradesh, Gujarat"
BIJU JANATA DAL,04-Jul-22,500000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,05-Jul-22,100000000,"Himachal Pradesh, Gujarat"
TELUGU DESAM PARTY,05-Jul-22,30000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,06-Jul-22,250000000,"Himachal Pradesh, Gujarat"
BIJU JANATA DAL,06-Jul-22,450000000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",06-Jul-22,150000000,"Himachal Pradesh, Gujarat"
DMK PARTY IN PARLIAMENT,08-Jul-22,500000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,11-Jul-22,190000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,11-Jul-22,75000000,"Himachal Pradesh, Gujarat"
BIJU JANATA DAL,11-Jul-22,70000000,"Himachal Pradesh, Gujarat"
DMK PARTY IN PARLIAMENT,11-Jul-22,250000000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",11-Jul-22,350000000,"Himachal Pradesh, Gujarat"
TELUGU DESAM PARTY,11-Jul-22,50000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,12-Jul-22,445000000,"Himachal Pradesh, Gujarat"
BHARTIYA JANTA PARTY,12-Jul-22,125000000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12-Jul-22,5000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,13-Jul-22,80000000,"Himachal Pradesh, Gujarat"
BIJU JANATA DAL,13-Jul-22,50000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,14-Jul-22,30000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,16-Jul-22,125000000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",19-Jul-22,70000000,"Himachal Pradesh, Gujarat"
AAM AADMI PARTY,10-Oct-22,20000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,10-Oct-22,250000000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10-Oct-22,150000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,11-Oct-22,100000000,"Himachal Pradesh, Gujarat"
BHARAT RASHTRA SAMITHI,11-Oct-22,300000000,"Himachal Pradesh, Gujarat"
BHARTIYA JANTA PARTY,11-Oct-22,790000000,"Himachal Pradesh, Gujarat"
BIJU JANATA DAL,11-Oct-22,350000000,"Himachal Pradesh, Gujarat"
AAM AADMI PARTY,12-Oct-22,20000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,12-Oct-22,500000000,"Himachal Pradesh, Gujarat"
DMK PARTY IN PARLIAMENT,12-Oct-22,100000000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12-Oct-22,52000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,13-Oct-22,300000000,"Himachal Pradesh, Gujarat"
