Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Phase
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-10-19,10000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-10-22,5000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
BHARTIYA JANTA PARTY,2019-10-23,31000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
BIJU JANATA DAL,2020-01-20,40000000,"Haryana, Maharashtra, Jharkhand, Delhi",13
BHARTIYA JANTA PARTY,2020-01-21,450000000,"Haryana, Maharashtra, Jharkhand, Delhi",13
AAM AADMI PARTY,2020-01-24,3000000,"Haryana, Maharashtra, Jharkhand, Delhi",13
BIJU JANATA DAL,2020-01-24,30000000,"Haryana, Maharashtra, Jharkhand, Delhi",13
ALL INDIA TRINAMOOL CONGRESS,2020-01-27,123700000,"Haryana, Maharashtra, Jharkhand, Delhi",13
BHARTIYA JANTA PARTY,2020-01-27,50000000,"Haryana, Maharashtra, Jharkhand, Delhi",13
BIJU JANATA DAL,2020-01-27,30000000,"Haryana, Maharashtra, Jharkhand, Delhi",13
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2020-01-28,60000000,"Haryana, Maharashtra, Jharkhand, Delhi",13
BHARTIYA JANTA PARTY,2020-02-03,30000000,"Haryana, Maharashtra, Jharkhand, Delhi",13
ALL INDIA TRINAMOOL CONGRESS,2020-10-22,150000000,Bihar,14
ALL INDIA TRINAMOOL CONGRESS,2020-10-23,4000000,Bihar,14
BIJU JANATA DAL,2020-10-23,500000000,Bihar,14
DMK PARTY IN PARLIAMENT,2020-10-23,600000000,Bihar,14
BIJU JANATA DAL,2020-10-27,120000000,Bihar,14
BIJU JANATA DAL,2020-10-28,50000000,Bihar,14
DMK PARTY IN PARLIAMENT,2020-10-29,200000000,Bihar,14
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2020-10-29,30000000,Bihar,14
RASTRIYA JANTA DAL,2020-10-29,10000000,Bihar,14
ALL INDIA TRINAMOOL CONGRESS,2020-10-31,10000000,Bihar,14
BIHAR PRADESH JANTA DAL(UNITED),2020-10-31,10000000,Bihar,14
BHARTIYA JANTA PARTY,2020-11-02,189000000,Bihar,14
BHARTIYA JANTA PARTY,2020-11-05,19900000,Bihar,14
AAM AADMI PARTY,2020-11-06,30000000,Bihar,14
ALL INDIA TRINAMOOL CONGRESS,2020-11-07,10000000,Bihar,14
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2020-11-07,890000000,Bihar,14
ALL INDIA TRINAMOOL CONGRESS,2021-01-07,250000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",15
AAM AADMI PARTY,2021-01-13,12500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",15
ALL INDIA TRINAMOOL CONGRESS,2021-01-13,10000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",15
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-01-18,70750000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",15
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2021-01-18,62500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",15
BHARTIYA JANTA PARTY,2021-01-19,10000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",15
BHARTIYA JANTA PARTY,2021-01-20,4950000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",15
BIJU JANATA DAL,2021-04-07,545000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
DMK PARTY IN PARLIAMENT,2021-04-07,1030000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
TELUGU DESAM PARTY,2021-04-07,25000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
BHARTIYA JANTA PARTY,2021-04-08,1145000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-08,50000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
TELUGU DESAM PARTY,2021-04-08,10000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2021-04-09,38000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-09,250000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
ALL INDIA TRINAMOOL CONGRESS,2021-04-12,502400000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
BHARTIYA JANTA PARTY,2021-04-12,1730000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
BIJU JANATA DAL,2021-04-12,545000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
DMK PARTY IN PARLIAMENT,2021-04-12,30000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-12,80000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
AAM AADMI PARTY,2021-04-13,2000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
ALL INDIA TRINAMOOL CONGRESS,2021-04-13,50000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
BIJU JANATA DAL,2021-04-13,70000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-13,177500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
AAM AADMI PARTY,2021-04-15,1500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
BHARTIYA JANTA PARTY,2021-04-16,40000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-16,30000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
ALL INDIA TRINAMOOL CONGRESS,2021-04-19,2000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2021-04-19,600000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",16
ALL INDIA TRINAMOOL CONGRESS,2021-07-09,26500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
ALL INDIA TRINAMOOL CONGRESS,2021-07-12,610000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-07-12,247000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
ALL INDIA TRINAMOOL CONGRESS,2021-07-13,230000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
ALL INDIA TRINAMOOL CONGRESS,2021-07-14,95100000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
BHARTIYA JANTA PARTY,2021-07-14,150000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
ALL INDIA TRINAMOOL CONGRESS,2021-07-15,64300000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
ALL INDIA TRINAMOOL CONGRESS,2021-07-16,39730000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
BHARTIYA JANTA PARTY,2021-07-17,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
AAM AADMI PARTY,2021-07-19,2500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
ALL INDIA TRINAMOOL CONGRESS,2021-07-23,10000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",17
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-05,120000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
BIJU JANATA DAL,2021-10-07,700000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-07,124300000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
ALL INDIA TRINAMOOL CONGRESS,2021-10-08,355000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
BHARAT RASHTRA SAMITHI,2021-10-08,850000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
ALL INDIA TRINAMOOL CONGRESS,2021-10-11,747500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
BHARAT RASHTRA SAMITHI,2021-10-11,680000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
BHARTIYA JANTA PARTY,2021-10-11,70000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
BIJU JANATA DAL,2021-10-11,110000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
DMK PARTY IN PARLIAMENT,2021-10-11,990000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-11,21150000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
BIJU JANATA DAL,2021-10-12,440000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-12,63545000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
BHARTIYA JANTA PARTY,2021-10-13,550000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
ALL INDIA TRINAMOOL CONGRESS,2021-10-16,251900000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
ALL INDIA TRINAMOOL CONGRESS,2021-10-18,64000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
ALL INDIA TRINAMOOL CONGRESS,2021-10-19,1000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-20,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",18
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-06,179800000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
SHIVSENA (POLITICAL PARTY),2022-01-06,250000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
AAM AADMI PARTY,2022-01-10,20000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ADYAKSHA SAMAJVADI PARTY,2022-01-10,2100000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ALL INDIA TRINAMOOL CONGRESS,2022-01-10,690000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BHARTIYA JANTA PARTY,2022-01-10,2512500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BIHAR PRADESH JANTA DAL(UNITED),2022-01-10,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BIJU JANATA DAL,2022-01-10,200000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-10,200000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ALL INDIA TRINAMOOL CONGRESS,2022-01-11,290000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BIJU JANATA DAL,2022-01-11,170000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
DMK PARTY IN PARLIAMENT,2022-01-11,1000000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2022-01-11,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
SHIVSENA (POLITICAL PARTY),2022-01-11,40000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
AAM AADMI PARTY,2022-01-12,2500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BHARTIYA JANTA PARTY,2022-01-12,937500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
GOA FORWARD PARTY,2022-01-12,3500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-12,508700000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ADYAKSHA SAMAJVADI PARTY,2022-01-13,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ALL INDIA TRINAMOOL CONGRESS,2022-01-13,600000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BIJU JANATA DAL,2022-01-13,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-13,275000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
AAM AADMI PARTY,2022-01-14,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ALL INDIA TRINAMOOL CONGRESS,2022-01-14,510000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BHARTIYA JANTA PARTY,2022-01-14,1755000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
SHIROMANI AKALI DAL,2022-01-14,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ALL INDIA TRINAMOOL CONGRESS,2022-01-15,60000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2022-01-15,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ALL INDIA TRINAMOOL CONGRESS,2022-01-17,56000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BHARTIYA JANTA PARTY,2022-01-17,1075000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
AAM AADMI PARTY,2022-01-18,4500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BHARTIYA JANTA PARTY,2022-01-18,205000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
MAHARASHTRAWADI GOMNTAK PARTY,2022-01-18,5500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-18,27000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BIJU JANATA DAL,2022-01-20,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-20,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
AAM AADMI PARTY,2022-01-21,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ALL INDIA TRINAMOOL CONGRESS,2022-01-21,4000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BHARTIYA JANTA PARTY,2022-01-21,137000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
ALL INDIA TRINAMOOL CONGRESS,2022-01-24,32000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",19
BHARAT RASHTRA SAMITHI,2022-04-06,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
ALL INDIA TRINAMOOL CONGRESS,2022-04-08,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
BHARAT RASHTRA SAMITHI,2022-04-11,920000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
BIJU JANATA DAL,2022-04-11,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
DMK PARTY IN PARLIAMENT,2022-04-11,1000000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
BHARAT RASHTRA SAMITHI,2022-04-12,2680000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
BHARTIYA JANTA PARTY,2022-04-12,430000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
BHARAT RASHTRA SAMITHI,2022-04-13,9870000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-04-13,80000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
BHARTIYA JANTA PARTY,2022-04-18,555000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-04-18,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
ALL INDIA TRINAMOOL CONGRESS,2022-04-19,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",20
BIJU JANATA DAL,2022-07-04,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
BHARAT RASHTRA SAMITHI,2022-07-05,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
TELUGU DESAM PARTY,2022-07-05,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
BHARAT RASHTRA SAMITHI,2022-07-06,250000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
BIJU JANATA DAL,2022-07-06,450000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-07-06,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
DMK PARTY IN PARLIAMENT,2022-07-08,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
ALL INDIA TRINAMOOL CONGRESS,2022-07-11,190000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
