Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Phase
AAM AADMI PARTY,2020-01-24,3000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
BIJU JANATA DAL,2020-01-24,30000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
ALL INDIA TRINAMOOL CONGRESS,2020-01-27,123700000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,13.0
BHARTIYA JANTA PARTY,2020-01-27,50000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,13.0
BIJU JANATA DAL,2020-01-27,30000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,13.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2020-01-28,60000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,13.0
BHARTIYA JANTA PARTY,2020-02-03,30000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,13.0
ALL INDIA TRINAMOOL CONGRESS,2020-10-22,150000000,Bihar,,,,,
ALL INDIA TRINAMOOL CONGRESS,2020-10-23,4000000,Bihar,,,,,
BIJU JANATA DAL,2020-10-23,500000000,Bihar,,,,,
DMK PARTY IN PARLIAMENT,2020-10-23,600000000,Bihar,,,,,
BIJU JANATA DAL,2020-10-27,120000000,Bihar,,,,,
BIJU JANATA DAL,2020-10-28,50000000,Bihar,,,,,
DMK PARTY IN PARLIAMENT,2020-10-29,200000000,Bihar,,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2020-10-29,30000000,Bihar,,,,,
RASTRIYA JANTA DAL,2020-10-29,10000000,Bihar,,,,,
ALL INDIA TRINAMOOL CONGRESS,2020-10-31,10000000,Bihar,,,,,
BIHAR PRADESH JANTA DAL(UNITED),2020-10-31,10000000,Bihar,,,,,
BHARTIYA JANTA PARTY,2020-11-02,189000000,Bihar,,,,,14.0
BHARTIYA JANTA PARTY,2020-11-05,19900000,Bihar,,,,,14.0
AAM AADMI PARTY,2020-11-06,30000000,Bihar,,,,,14.0
ALL INDIA TRINAMOOL CONGRESS,2020-11-07,10000000,Bihar,,,,,14.0
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2020-11-07,890000000,Bihar,,,,,14.0
ALL INDIA TRINAMOOL CONGRESS,2021-01-07,250000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
AAM AADMI PARTY,2021-01-13,12500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-01-13,10000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-01-18,70750000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,15.0
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2021-01-18,62500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,15.0
BHARTIYA JANTA PARTY,2021-01-19,10000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,15.0
BHARTIYA JANTA PARTY,2021-01-20,4950000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,15.0
BIJU JANATA DAL,2021-04-07,545000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
DMK PARTY IN PARLIAMENT,2021-04-07,1030000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
TELUGU DESAM PARTY,2021-04-07,25000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
BHARTIYA JANTA PARTY,2021-04-08,1145000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-08,50000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
TELUGU DESAM PARTY,2021-04-08,10000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2021-04-09,38000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-09,250000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-04-12,502400000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
BHARTIYA JANTA PARTY,2021-04-12,1730000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
BIJU JANATA DAL,2021-04-12,545000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
DMK PARTY IN PARLIAMENT,2021-04-12,30000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-12,80000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
AAM AADMI PARTY,2021-04-13,2000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-04-13,50000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
BIJU JANATA DAL,2021-04-13,70000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-13,177500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,
AAM AADMI PARTY,2021-04-15,1500000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,16.0
BHARTIYA JANTA PARTY,2021-04-16,40000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,16.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-04-16,30000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,16.0
ALL INDIA TRINAMOOL CONGRESS,2021-04-19,2000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,16.0
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2021-04-19,600000000,"Assam, Kerala, Tamil Nadu, West Bengal, Puducherry",,,,,16.0
ALL INDIA TRINAMOOL CONGRESS,2021-07-09,26500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-07-12,610000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-07-12,247000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-07-13,230000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-07-14,95100000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARTIYA JANTA PARTY,2021-07-14,150000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-07-15,64300000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,17.0
ALL INDIA TRINAMOOL CONGRESS,2021-07-16,39730000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,17.0
BHARTIYA JANTA PARTY,2021-07-17,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,17.0
AAM AADMI PARTY,2021-07-19,2500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,17.0
ALL INDIA TRINAMOOL CONGRESS,2021-07-23,10000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,17.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-05,120000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BIJU JANATA DAL,2021-10-07,700000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-07,124300000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-10-08,355000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARAT RASHTRA SAMITHI,2021-10-08,850000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-10-11,747500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARAT RASHTRA SAMITHI,2021-10-11,680000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARTIYA JANTA PARTY,2021-10-11,70000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BIJU JANATA DAL,2021-10-11,110000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
DMK PARTY IN PARLIAMENT,2021-10-11,990000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-11,21150000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BIJU JANATA DAL,2021-10-12,440000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-12,63545000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARTIYA JANTA PARTY,2021-10-13,550000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2021-10-16,251900000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,18.0
ALL INDIA TRINAMOOL CONGRESS,2021-10-18,64000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,18.0
ALL INDIA TRINAMOOL CONGRESS,2021-10-19,1000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,18.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2021-10-20,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,18.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-06,179800000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
SHIVSENA (POLITICAL PARTY),2022-01-06,250000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
AAM AADMI PARTY,2022-01-10,20000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ADYAKSHA SAMAJVADI PARTY,2022-01-10,2100000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-01-10,690000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARTIYA JANTA PARTY,2022-01-10,2512500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BIHAR PRADESH JANTA DAL(UNITED),2022-01-10,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BIJU JANATA DAL,2022-01-10,200000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-10,200000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-01-11,290000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BIJU JANATA DAL,2022-01-11,170000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
DMK PARTY IN PARLIAMENT,2022-01-11,1000000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2022-01-11,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
SHIVSENA (POLITICAL PARTY),2022-01-11,40000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
AAM AADMI PARTY,2022-01-12,2500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARTIYA JANTA PARTY,2022-01-12,937500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
