Name of the Political Party,"Date of
Encashment",Sum - Denomination
BHARTIYA JANTA PARTY,29/Apr/2019,178500000
BHARTIYA JANTA PARTY,02/May/2019,20100000
BHARTIYA JANTA PARTY,03/May/2019,50000000
BHARTIYA JANTA PARTY,10/May/2019,3961500000
BHARTIYA JANTA PARTY,14/May/2019,2412500000
BHARTIYA JANTA PARTY,20/May/2019,701500000
BHARTIYA JANTA PARTY,22/May/2019,1500000
BHARTIYA JANTA PARTY,18/Jul/2019,110000000
BHARTIYA JANTA PARTY,22/Jul/2019,40000000
BHARTIYA JANTA PARTY,11/Oct/2019,932500000
BHARTIYA JANTA PARTY,15/Oct/2019,358300000
BHARTIYA JANTA PARTY,16/Oct/2019,350000000
BHARTIYA JANTA PARTY,18/Oct/2019,50000000
BHARTIYA JANTA PARTY,19/Oct/2019,130000000
BHARTIYA JANTA PARTY,23/Oct/2019,31000000
BHARTIYA JANTA PARTY,21/Jan/2020,450000000
BHARTIYA JANTA PARTY,27/Jan/2020,50000000
BHARTIYA JANTA PARTY,03/Feb/2020,30000000
BHARTIYA JANTA PARTY,02/Nov/2020,189000000
BHARTIYA JANTA PARTY,05/Nov/2020,19900000
BHARTIYA JANTA PARTY,19/Jan/2021,10000000
BHARTIYA JANTA PARTY,20/Jan/2021,4950000
BHARTIYA JANTA PARTY,08/Apr/2021,1145000000
BHARTIYA JANTA PARTY,12/Apr/2021,1730000000
BHARTIYA JANTA PARTY,16/Apr/2021,40000000
BHARTIYA JANTA PARTY,14/Jul/2021,150000000
BHARTIYA JANTA PARTY,17/Jul/2021,30000000
BHARTIYA JANTA PARTY,11/Oct/2021,70000000
BHARTIYA JANTA PARTY,13/Oct/2021,550000000
BHARTIYA JANTA PARTY,10/Jan/2022,2512500000
BHARTIYA JANTA PARTY,12/Jan/2022,937500000
BHARTIYA JANTA PARTY,14/Jan/2022,1755000000
BHARTIYA JANTA PARTY,17/Jan/2022,1075000000
BHARTIYA JANTA PARTY,18/Jan/2022,205000000
BHARTIYA JANTA PARTY,21/Jan/2022,137000000
BHARTIYA JANTA PARTY,12/Apr/2022,430000000
BHARTIYA JANTA PARTY,18/Apr/2022,555000000
BHARTIYA JANTA PARTY,12/Jul/2022,125000000
BHARTIYA JANTA PARTY,11/Oct/2022,790000000
BHARTIYA JANTA PARTY,15/Oct/2022,1000000000
BHARTIYA JANTA PARTY,18/Oct/2022,125000000
BHARTIYA JANTA PARTY,21/Oct/2022,310000000
BHARTIYA JANTA PARTY,14/Nov/2022,2000000000
BHARTIYA JANTA PARTY,16/Nov/2022,2017500000
BHARTIYA JANTA PARTY,18/Nov/2022,1875999000
BHARTIYA JANTA PARTY,21/Nov/2022,135000000
BHARTIYA JANTA PARTY,14/Dec/2022,1090000000
BHARTIYA JANTA PARTY,16/Dec/2022,490000000
BHARTIYA JANTA PARTY,19/Dec/2022,70000000
BHARTIYA JANTA PARTY,30/Jan/2023,1000000000
BHARTIYA JANTA PARTY,01/Feb/2023,370000000
BHARTIYA JANTA PARTY,04/Feb/2023,216000000
BHARTIYA JANTA PARTY,07/Feb/2023,342000000
BHARTIYA JANTA PARTY,12/Apr/2023,1770000000
BHARTIYA JANTA PARTY,17/Apr/2023,1430450000
BHARTIYA JANTA PARTY,18/Apr/2023,100000000
BHARTIYA JANTA PARTY,24/Apr/2023,42000000
BHARTIYA JANTA PARTY,10/Jul/2023,100000000
BHARTIYA JANTA PARTY,12/Jul/2023,395000000
BHARTIYA JANTA PARTY,15/Jul/2023,269900000
BHARTIYA JANTA PARTY,20/Jul/2023,104400000
BHARTIYA JANTA PARTY,24/Jul/2023,1000
BHARTIYA JANTA PARTY,12/Oct/2023,100000000
BHARTIYA JANTA PARTY,13/Oct/2023,1975000000
BHARTIYA JANTA PARTY,16/Oct/2023,654500000
BHARTIYA JANTA PARTY,19/Oct/2023,645000000
BHARTIYA JANTA PARTY,21/Oct/2023,50000000
BHARTIYA JANTA PARTY,25/Oct/2023,1000000
BHARTIYA JANTA PARTY,26/Oct/2023,155000000
BHARTIYA JANTA PARTY,27/Oct/2023,10000000
BHARTIYA JANTA PARTY,13/Nov/2023,1152500000
BHARTIYA JANTA PARTY,17/Nov/2023,1482500000
BHARTIYA JANTA PARTY,20/Nov/2023,1695000000
BHARTIYA JANTA PARTY,21/Nov/2023,350000000
BHARTIYA JANTA PARTY,22/Nov/2023,1350000000
BHARTIYA JANTA PARTY,23/Nov/2023,800000000
BHARTIYA JANTA PARTY,24/Nov/2023,140010000
BHARTIYA JANTA PARTY,28/Nov/2023,50000000
BHARTIYA JANTA PARTY,01/Dec/2023,13000000
BHARTIYA JANTA PARTY,12/Jan/2024,1100000000
BHARTIYA JANTA PARTY,17/Jan/2024,350000000
BHARTIYA JANTA PARTY,19/Jan/2024,500000000
BHARTIYA JANTA PARTY,24/Jan/2024,70000000
BIHAR PRADESH JANTA DAL(UNITED),16/Apr/2019,20000000
BIHAR PRADESH JANTA DAL(UNITED),26/Apr/2019,10000000
BIHAR PRADESH JANTA DAL(UNITED),31/Oct/2020,10000000
BIHAR PRADESH JANTA DAL(UNITED),10/Jan/2022,100000000
BIJU JANATA DAL,20/Jul/2019,100000000
BIJU JANATA DAL,20/Jan/2020,40000000
BIJU JANATA DAL,24/Jan/2020,30000000
BIJU JANATA DAL,27/Jan/2020,30000000
BIJU JANATA DAL,23/Oct/2020,500000000
BIJU JANATA DAL,27/Oct/2020,120000000
BIJU JANATA DAL,28/Oct/2020,50000000
BIJU JANATA DAL,07/Apr/2021,545000000
BIJU JANATA DAL,12/Apr/2021,545000000
BIJU JANATA DAL,13/Apr/2021,70000000
BIJU JANATA DAL,07/Oct/2021,700000000
BIJU JANATA DAL,11/Oct/2021,110000000
BIJU JANATA DAL,12/Oct/2021,440000000
BIJU JANATA DAL,10/Jan/2022,200000000
